RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
Auto_user_YG3-987-IONA_Test_20190401-A2	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-717-IONA_Test_20190401-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-988-IONA_Test_20190401-B2	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YG3-989-IONA_Test_20190402-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-990-IONA_Test_20190402-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-718-IONA_Test_20190404-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-719-IONA_Test_20190404-B	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-720-IONA_Test_20190409-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-721-IONA_Test_20190409-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-722-IONA_Test_20190410-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-991-IONA_Test_20190410-A2	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YGProton6-723-IONA_Test_20190410-B1	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YG3-992-IONA_Test_20190410-B2	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YGProton6-724-IONA_Test_20190411-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-725-IONA_Test_20190411-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-726-IONA_Test_20190415-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-727-IONA_Test_20190415-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-728-IONA_Test_20190416-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-729-IONA_Test_20190416-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-993-IONA_Test_20190417-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-994-IONA_Test_20190417-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-730-IONA_Test_20190418-A	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-731-IONA_Test_20190418-B	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-732-IONA_Test_20190419-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-733-IONA_Test_20190419-B	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-734-IONA_Test_20190422-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-995-IONA_Test_20190422-A2	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YGProton6-735-IONA_Test_20190422-B1	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YG3-996-IONA_Test_20190422-B2	1	1	1	9/9	9/9	8/8	8/8	0	0	1
Auto_user_YGProton6-736-IONA_Test_20190423-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-737-IONA_Test_20190423-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-738-IONA_Test_20190424-A	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-739-IONA_Test_20190424-B	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YG3-997-IONA_Test_20190425-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-998-IONA_Test_20190425-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-740-IONA_Test_20190426-A	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-741-IONA_Test_20190426-B	1	1	1	11/11	11/11	10/10	10/10	0	0	1
Auto_user_YGProton6-742-IONA_Test_20190429-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-743-IONA_Test_20190429-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-744-IONA_Test_20190430-A1	1	1	1	11/11	11/11	10/10	10/10	1	0	1
Auto_user_YG3-999-IONA_Test_20190430-A2	1	1	1	10/10	10/10	9/9	9/9	1	0	1
Auto_user_YGProton6-745-IONA_Test_20190430-B1	1	1	1	12/12	12/12	11/11	11/11	1	0	1
Auto_user_YG3-1000-IONA_Test_20190430-B2	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-746-IONA_Test_20190502-A	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-747-IONA_Test_20190502-B	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-748-IONA_Test-OT2_20190506-A1	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YG3-1001-IONA_Test_20190506-A2	1	1	1	11/11	11/11	10/10	10/10	1	0	1
Auto_user_YGProton6-749-IONA_Test-OT2_20190506-B1	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YG3-1002-IONA_Test_20190506-B2	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-750-IONA_Test-OT2_20190508-A	1	1	1	12/12	12/12	12/12	12/12	1	0	1
Auto_user_YGProton6-751-IONA_Test-OT2_20190508-B	1	1	1	11/11	11/11	11/11	11/11	1	0	1
Auto_user_YGProton6-752-IONA_Test_20190510-A	1	1	1	11/11	11/11	11/11	11/11	1	0	1
Auto_user_YGProton6-753-IONA_Test_20190510-B	1	1	1	11/11	11/11	11/11	11/11	1	0	1
Auto_user_YGProton6-754-IONA_Test_20190513-A	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-755-IONA_Test_20190513-B	1	1	1	8/8	8/8	7/7	7/7	1	0	1
Auto_user_YG3-1003-IONA_Test_20190514-A	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YG3-1004-IONA_Test_20190514-B	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-756-IONA_Test_20190515-A	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-757-IONA_Test_20190515-B	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-758-IONA_Test_20190516-A1	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YG3-1005-IONA_Test_20190516-A2	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-759-IONA_Test_20190516-B1	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YG3-1006-IONA_Test_20190516-B2	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-760-IONA_Test_20190517-A	1	1	1	13/13	13/13	12/12	12/12	1	0	1
Auto_user_YGProton6-761-IONA_Test_20190517-B	1	1	1	12/12	12/12	11/11	11/11	1	0	1
Auto_user_YGProton6-762-IONA_Test_20190520-A1	1	1	1	11/11	11/11	10/10	10/10	1	0	1
