RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
170529_M02559_0276_000000000-D2HYH	1	1	1	1	1	1	1	0	0	1
170531_M02559_0277_000000000-D0WCE	1	1	1	1	1	1	1	0	0	1
170601_M02559_0278_000000000-AREDJ	0	0	0	1	1	1	1	0	0	1
170602_M02559_0279_000000000-AREDJ	1	1	1	1	1	1	1	0	0	1
170602_M02559_0280_000000000-D2J0M	1	1	1	1	1	1	1	0	0	1
170603_M02559_0281_000000000-D2HV6	1	1	1	1	1	1	1	0	0	1
170604_M02559_0282_000000000-G19A0	1	1	1	1	1	1	1	0	0	1
170605_M02559_0283_000000000-G17RJ	1	1	1	1	1	1	1	0	0	1
170607_M02559_0284_000000000-G197E	0	0	0	1	1	1	1	0	0	1
170607_M02559_0285_000000000-G197E	0	0	0	1	1	1	1	0	0	1
170607_M02559_0286_000000000-G19D9	1	1	1	1	1	1	1	0	0	1
170608_M02559_0287_000000000-D2J00	1	1	1	1	1	1	1	0	0	1
170609_M02559_0288_000000000-AU2K8	0	0	0	1	1	1	1	0	0	1
170609_M02559_0289_000000000-AU2K8	0	0	0	1	1	1	1	0	0	1
170613_M02559_0290_000000000-G19CA	1	1	1	1	1	1	1	0	0	1
170614_M05267_0002_000000000-AREEU	1	1	1	1	1	1	1	0	0	1
170615_M02559_0291_000000000-G19D7	1	1	1	1	1	1	1	0	0	1
170616_M02559_0292_000000000-G1481	1	1	1	1	1	1	1	0	0	1
170616_M05267_0003_000000000-B9JM8	0	0	0	1	1	1	1	0	0	1
170617_M02559_0293_000000000-G1966	1	1	1	1	1	1	1	0	0	1
170619_M02559_0294_000000000-AUY6N	1	1	1	1	1	1	1	0	0	1
170619_M05267_0004_000000000-B9JM8	0	0	0	1	1	1	1	0	0	1
170620_M02559_0295_000000000-D2HEJ	1	1	1	1	1	1	1	0	0	1
